    0.26576E-02    0.94739E+04
    0.27113E-02    0.96328E+04
    0.27660E-02    0.97938E+04
    0.28219E-02    0.99568E+04
    0.28789E-02    0.10122E+05
    0.29371E-02    0.10289E+05
    0.29964E-02    0.10458E+05
    0.30569E-02    0.10629E+05
    0.31187E-02    0.10802E+05
    0.31817E-02    0.10977E+05
    0.32460E-02    0.11154E+05
    0.33115E-02    0.11333E+05
    0.33784E-02    0.11514E+05
    0.34467E-02    0.11696E+05
    0.35163E-02    0.11881E+05
    0.35874E-02    0.12068E+05
    0.36598E-02    0.12256E+05
    0.37338E-02    0.12446E+05
    0.38092E-02    0.12638E+05
    0.38861E-02    0.12832E+05
    0.39646E-02    0.13028E+05
    0.40447E-02    0.13225E+05
    0.41264E-02    0.13424E+05
    0.42098E-02    0.13625E+05
    0.42948E-02    0.13828E+05
    0.43816E-02    0.14032E+05
    0.44701E-02    0.14237E+05
    0.45604E-02    0.14443E+05
    0.46525E-02    0.14651E+05
    0.47465E-02    0.14863E+05
    0.48424E-02    0.15078E+05
    0.49402E-02    0.15289E+05
    0.50400E-02    0.15487E+05
    0.51419E-02    0.15675E+05
    0.52457E-02    0.15869E+05
    0.53517E-02    0.16079E+05
    0.54598E-02    0.16299E+05
    0.55701E-02    0.16518E+05
    0.56826E-02    0.16735E+05
    0.57974E-02    0.16951E+05
    0.59145E-02    0.17168E+05
    0.60340E-02    0.17386E+05
    0.61559E-02    0.17605E+05
    0.62803E-02    0.17823E+05
    0.64072E-02    0.18042E+05
    0.65366E-02    0.18260E+05
    0.66686E-02    0.18478E+05
    0.68033E-02    0.18696E+05
    0.69408E-02    0.18914E+05
    0.70810E-02    0.19130E+05
    0.72240E-02    0.19346E+05
    0.73700E-02    0.19562E+05
    0.75189E-02    0.19776E+05
    0.76708E-02    0.19989E+05
    0.78257E-02    0.20200E+05
    0.79838E-02    0.20410E+05
    0.81451E-02    0.20618E+05
    0.83096E-02    0.20825E+05
    0.84775E-02    0.21029E+05
    0.86488E-02    0.21231E+05
    0.88235E-02    0.21431E+05
    0.90017E-02    0.21628E+05
    0.91836E-02    0.21823E+05
    0.93691E-02    0.22014E+05
    0.95583E-02    0.22202E+05
    0.97514E-02    0.22387E+05
    0.99484E-02    0.22568E+05
    0.10149E-01    0.22745E+05
    0.10354E-01    0.22918E+05
    0.10564E-01    0.23086E+05
    0.10777E-01    0.23250E+05
    0.10995E-01    0.23409E+05
    0.11217E-01    0.23563E+05
    0.11443E-01    0.23712E+05
    0.11675E-01    0.23855E+05
    0.11910E-01    0.23993E+05
    0.12151E-01    0.24124E+05
    0.12397E-01    0.24248E+05
    0.12647E-01    0.24367E+05
    0.12902E-01    0.24478E+05
    0.13163E-01    0.24582E+05
